P/L,P/RECEITA_(PSR),P/VP,DY,PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Papel
"-3,85","0,64","0,77","0,00","0,00","-16,51","2,03","-5,11","-0,85","-56,49","-9,43","-74,55","-12,45","0,52","1,23","-1,37","20,32","-4,05","0,82","-19,93","-19,93","-13,49","-0,22","21,40","3,57","0,02","0,68","0,32","3,13","-0,54",,CRPG5
"-1,39","0,63","0,30","0,00","0,00","-45,70","-22,40","-15,55","-5,39","-34,17","-11,85","-11,74","-4,07","0,11","1,32","-0,16","9,13","-1,95","0,17","-21,36","-4,49","-7,79","0,76","-30,33","-10,51","0,91","0,36","0,64","1,37","-25,62",,CTSA4
"-28,34","0,48","-3,82","0,00","0,00","-1,70","37,79","22,46","22,69","4,92","4,97","2,13","2,15","0,24","-3,75","-0,39","-0,45","-0,06","0,50","-13,47","22,28","0,69","-5,01","2,79","2,82","-7,67","-0,06","1,04","0,86","30,73",,AVLL3
"8,77","0,65","2,16","2,87","47,09","7,37","48,47","3,04","0,00",,"19,19",,"21,26","0,15","-1,44","-0,66","18,14","4,46","0,23","24,59","9,11","1,76",,,,,"0,07","0,93","0,88","23,20","25,84",BMEB4
"-2,73","0,33","0,24","0,00","0,00","-12,23","40,08","-19,65","-8,72","3,34","1,48","-3,83","-1,70","0,18","0,35","-0,42","19,98","-1,77","0,54","-8,86","-14,44","-6,55","-0,45","7,17","3,18","0,05","0,74","0,26","9,33","-8,00",,WEST3
"9,42","1,12","1,83","3,32","31,76","11,92","50,58","16,85","20,48","6,43","7,82","5,49","6,67","0,92","2,47","-2,36","11,78","2,29","0,82","19,44","13,40","9,75","0,31","0,94","1,14","0,55","0,50","0,50","2,56","7,25","6,61",OFSA3
"-0,94","0,02","2,54","0,00","0,00","-2,61","12,07","5,68","7,91","9,57","13,32","0,31","0,43","0,03","0,18","-0,06","1,61","-4,37","1,24","-271,02","5,99","-3,25","60,45","7,37","10,25","66,91","0,01","0,99","1,56","12,08",,MGEL4
"8,03","3,71","1,30","9,94","82,11","46,17","53,68","59,70","60,82","3,19","3,25","6,10","6,21","0,95","1,85","-2,21","15,47","2,50","0,26","16,18","15,92","15,38","-0,61","-2,87","-2,92","0,00","0,73","0,10","9,39","-22,86","-12,75",CEBR5
"-3,74","1,40","0,56","0,00","0,00","-37,47","-10,99","13,16","48,52","10,08","37,18","2,89","10,66","0,13","-2,83","-0,15","6,11","-0,91","0,10","-14,86","1,82","-3,57","1,38","7,16","26,40","1,51","0,24","0,76","0,72","33,66",,RNEW11
"4,39","0,57","1,15","4,97","38,33","12,88","31,71","23,95","30,32","5,01","6,34","1,87","2,36","0,30","-11,23","-0,36","32,28","8,45","0,54","26,17","16,49","6,67","1,78","2,89","3,66","1,84","0,26","0,74","0,86","8,78","11,83",CEEB3
"16,08","1,74","0,87","5,29","83,02","10,80","36,47","0,30","1,99","210,80","1.415,57","87,35","586,58","0,50","2,28","-0,70","33,33","1,80","0,29","5,41","-0,17","3,09","-0,22","-21,70","-145,70","0,00","0,57","0,43","3,91","6,65","-19,62",EMAE4
"5,22","0,73","0,57","11,79","52,09","14,07","52,20","10,20","14,24","3,17","4,43","5,16","7,20","0,41","1,50","-0,74","47,17","5,16","0,55","10,93","6,33","7,79","-0,22","-1,96","-2,74","0,00","0,71","0,29","2,52","10,34","7,84",CGRA3
"25,85","1,18","1,25","1,32","35,51","4,58","44,69","3,36","8,74","14,08","36,62","13,55","35,23","0,79","3,00","-1,55","5,93","0,29","0,67","4,83","2,17","3,06","-0,05","-0,55","-1,44","0,22","0,63","0,36","2,17","4,88","8,99",ALPA3
"8,46","0,98","2,08","9,31","84,83","11,55","27,93","13,55","19,43","6,37","9,13","5,03","7,22","0,76","3,48","-1,25","23,41","5,75","0,77","24,57","10,41","8,95","0,37","0,89","1,27","0,93","0,36","0,63","2,24","7,82","11,97",UNIP3
"7,78","3,59","1,26","10,14","82,11","46,17","53,68","59,70","60,82","3,19","3,25","5,91","6,02","0,92","1,80","-2,14","15,47","2,50","0,26","16,18","15,92","15,38","-0,61","-2,87","-2,92","0,00","0,73","0,10","9,39","-22,86","-12,75",CEBR3
"5,38","0,36","1,03","9,41","16,68","6,67","17,23","11,83","15,04","4,45","5,66","2,39","3,04","0,30","4,24","-0,43","100,17","19,09","0,82","19,06","13,06","5,48","0,90","2,09","2,65","1,09","0,29","0,71","1,28","4,49","7,26",CLSC4
"5,08","0,76","0,86","8,44","55,16","14,96","61,72","20,12","22,58","2,54","2,85","3,37","3,78","0,56","1,10","-2,08","18,63","3,17","0,74","16,99","16,26","11,17","-0,34","-1,34","-1,50","0,09","0,65","0,36","3,30","4,93","13,85",BALM4
"0,08","0,40","-0,20","0,00","0,00","472,11","153,26","477,15","486,01","0,01","0,01","0,08","0,08","0,28","-0,55","-0,66","-19,02","45,89","0,71","-241,22","-243,84","337,77","0,17","-0,07","-0,07","-0,03","-1,40","2,39","0,53","-23,97",,NEXP3
"9,04","0,91","3,74","10,51","123,52","10,08","27,89","22,83","27,18","6,06","7,22","3,35","3,99","0,71","14,06","-0,96","12,04","4,98","0,78","41,32","18,59","7,84","2,92","2,62","3,12","3,18","0,19","0,81","1,24","6,96","10,24",EKTR3
"17,09","1,78","3,50","1,41","22,93","10,44","25,04","7,79","9,82","6,78","8,54","18,17","22,89","2,41","10,19","-5,16","24,97","5,12","1,35","20,50","13,22","14,08","-0,34","-1,75","-2,20","0,01","0,69","0,31","1,79","6,07","2,67",BAUH4
"-0,69","0,20","0,43","0,00","0,00","-28,54","15,60","0,58","1,93","60.113,94","199.917,26","10,24","34,04","0,07","0,33","-0,14","5,04","-3,16","0,36","-62,76","0,00","-10,07","2.552,16","60.103,70","199.883,22","2.552,29","0,17","0,82","1,79","8,89",,RDNI3
"10,16","0,75","3,24","6,73","67,24","7,35","25,13","17,87","22,90","6,43","8,24","3,26","4,18","0,45","6,13","-0,61","1,97","0,63","0,60","31,93","13,37","6,04","3,15","3,17","4,06","3,88","0,14","0,79","1,38","9,85","8,16",REDE3
"9,73","1,15","12,04","8,48","76,53","11,79","22,49","20,87","25,35","6,24","7,58","4,53","5,50","1,22","9,51","-1,65","10,72","13,26","1,06","123,69","22,85","12,52","5,18","1,95","2,36","5,98","0,10","0,90","1,95","12,36","8,83",CGAS5
"12,22","2,74","2,01","19,46","102,32","22,44","41,18","38,58","71,01","4,08","7,51","3,86","7,11","0,96","-9,11","-1,18","17,91","2,94","0,35","16,41","13,79","7,89","0,11","0,22","0,40","0,37","0,48","0,52","0,63","-3,14","-16,93",GEPA4
"5,81","0,45","0,91","6,47","36,83","7,72","17,59","11,84","13,45","3,15","3,58","3,34","3,79","0,56","1,27","-1,63","9,15","1,43","1,25","15,64","13,40","9,85","-0,04","-0,13","-0,15","0,24","0,62","0,38","3,06","15,28","2,14",DEXP4
"12,80","0,51","-0,62","0,00","0,00","4,00","27,57","14,21","16,44","3,11","3,60","3,11","3,60","0,49","-0,50","-1,12","-42,32","2,04","0,95","-4,83","-14,65","3,82","0,00","0,00","0,00","0,00","-0,79","1,79","0,37","6,91","-2,60",MNPR3
"8,23","3,80","1,33","10,39","82,11","46,17","53,68","59,70","60,82","3,19","3,25","6,24","6,36","0,97","1,90","-2,26","15,47","2,50","0,26","16,18","15,92","15,38","-0,61","-2,87","-2,92","0,00","0,73","0,10","9,39","-22,86","-12,75",CEBR6
"0,15","0,50","-0,04","0,00","0,00","327,60","28,74","-311,91","-311,65","-1,50","-1,50","-0,16","-0,16","0,08","-0,14","-0,17","-47,95","13,63","0,17","-28,42","101,01","54,92","-0,36","-1,34","-1,34","-0,39","-1,93","2,93","0,45","2,06",,RSID3
"-1,01","0,09","-0,13","0,00","0,00","-8,46","19,29","7,50","10,51","9,25","12,96","0,81","1,13","0,06","1,57","-0,08","-53,00","-6,96","0,68","-13,14","20,14","-5,76","-1,38","8,43","11,82","-1,58","-0,44","1,44","1,13","9,85",,CEED3
"3,45","0,39","0,63","15,35","51,28","11,39","38,64","16,06","0,00",,"2,82",,"2,45","0,04","-3,41","-0,09","43,65","7,90","0,11","18,11","23,32","1,25",,,,,"0,07","0,93","0,98","15,23","21,97",BGIP4
"6,15","2,44","0,97","7,74","47,90","39,74","39,29","58,41","58,84","5,94","5,98","4,15","4,18","0,45","3,63","-0,53","31,27","4,93","0,19","15,76","12,90","7,52","0,60","2,55","2,57","0,68","0,47","0,52","5,95","17,19","-0,47",ISAE3
"-8,17",,"-0,51","0,00","0,00","0,00","0,00","0,00","0,00",,"-7,56",,"-8,23","4,27","-58,04","-4,28","-7,04","-0,44","0,00","-6,26","6,21","-52,33","0,00",,"0,00","0,00","-8,36","9,36","0,02","-100,00",,MAPT4
"-4,44","0,73","0,88","0,00","0,00","-16,51","2,03","-5,11","-0,85","-56,49","-9,43","-85,93","-14,35","0,60","1,42","-1,57","20,32","-4,05","0,82","-19,93","-19,93","-13,49","-0,22","21,40","3,57","0,02","0,68","0,32","3,13","-0,54",,CRPG3
"-1,44","0,66","0,31","0,00","0,00","-45,70","-22,40","-15,55","-5,39","-34,17","-11,85","-12,17","-4,22","0,11","1,37","-0,16","9,13","-1,95","0,17","-21,36","-4,49","-7,79","0,76","-30,33","-10,51","0,91","0,36","0,64","1,37","-25,62",,CTSA3
"3,63","0,59","1,02","3,89","13,22","16,13","29,10","20,74","41,65","1,69","3,39","1,41","2,83","0,53","5,79","-0,93","14,98","4,21","0,91","28,11","23,16","14,70","0,29","0,40","0,81","0,32","0,52","0,48","1,27","18,47","30,29",EALT3
"11,33","0,53","0,82","2,91","33,74","4,69","14,84","6,42","11,24","4,70","8,23","4,72","8,27","0,41","1,21","-0,93","11,03","0,80","0,77","7,28","5,75","4,53","0,27","1,53","2,68","0,73","0,50","0,50","2,56","7,95","11,66",PTNT3
"9,65","1,11","2,37","9,48","84,83","11,55","27,93","13,55","19,43","6,37","9,13","5,74","8,23","0,86","3,96","-1,42","23,41","5,75","0,77","24,57","10,41","8,95","0,37","0,89","1,27","0,93","0,36","0,63","2,24","7,82","11,97",UNIP5
"23,43",,"0,35","0,00","47,36","0,00","0,00","0,00","0,00","55,18","36,40","60,68","40,03","0,35","7,42","-0,37","12,84","0,19","0,00","1,50","0,83","1,49","-0,05","-8,50","-5,61","0,00","1,00","0,00","14,69","-100,00","-13,69",RPAD3
"0,89","0,41","-0,89","0,00","0,00","45,45","69,51","73,03","78,46","0,37","0,39","0,52","0,56","0,14","-1,25","-0,17","-4,41","4,41","0,34","-100,00","-149,85","15,52","0,40","-0,23","-0,25","-0,01","-0,16","1,16","0,64","37,59",,HOOT4
"10,40","0,73","0,82","4,50","30,20","7,06","23,76","7,29","9,93","7,07","9,63","7,39","10,08","0,69","1,11","-2,90","52,86","4,18","0,94","7,91","3,08","6,63","-0,33","-2,93","-4,00","0,03","0,84","0,16","5,36","7,21","-8,47",MTSA4
"6,85","0,56","0,62","3,71","28,48","8,13","34,04","14,02","17,50","4,22","5,27","3,18","3,97","0,34","1,67","-0,56","28,64","2,60","0,61","9,07","9,55","4,96","0,22","1,13","1,41","0,40","0,55","0,45","2,06","10,50","10,79",EUCA3
"6,12","0,25","0,96","6,50","44,89","4,08","12,41","6,84","7,07","5,33","5,51","3,53","3,65","0,54","1,57","-1,31","21,82","3,42","2,14","15,69","12,08","8,74","0,42","1,56","1,62","0,53","0,56","0,44","2,36","25,24","18,03",WLMM4
"7,15","0,47","-0,28","0,00","0,00","6,53","24,84","-0,38","1,74","-19,85","90,56","26,90","-122,69","0,21","0,40","-1,95","-4,27","0,17","0,45","-3,90","398,58","2,95","0,55","-53,15","242,46","-0,41","-0,76","1,76","2,43","0,36","-18,71",HAGA4
"19,50","7,19","0,78","2,34","44,70","36,86","58,44","30,99","46,14","14,63","21,79","15,58","23,20","0,54","3,15","-0,68","47,53","1,90","0,08","3,99","2,66","2,77","-0,06","-1,15","-1,72","0,18","0,69","0,31","5,51","-11,66","-40,08",PEAB4
"1,72","0,17","0,54","0,00","0,00","9,64","28,99","15,04","17,39","3,21","3,71","0,95","1,10","0,18","2,59","-0,31","31,52","9,98","1,07","31,67","18,15","10,27","1,22","2,14","2,47","1,25","0,32","0,68","1,19","10,84",,CEDO4
"-19,17",,"1,57","39,53","-1.020,87","0,00","0,00","0,00","0,00","-4,55","-4,54","-6,99","-6,98","0,73","1,45","-1,85","80,88","-6,62","0,00","-8,19","-21,73","-3,83","-0,55","2,44","2,44","0,68","0,47","0,53","6,12","-100,00",,MOAR3
"9,10","1,07","11,25","7,73","76,53","11,79","22,49","20,87","25,35","6,24","7,58","4,23","5,14","1,14","8,89","-1,55","10,72","13,26","1,06","123,69","22,85","12,52","5,18","1,95","2,36","5,98","0,10","0,90","1,95","12,36","8,83",CGAS3
"5,15","0,59","1,71","12,56","0,00","11,54","30,11","15,95","18,57","2,19","2,56","3,20","3,72","1,05","3,61","-2,38","29,12","9,69","1,76","33,29","27,63","20,44","-0,44","-0,81","-0,95","0,00","0,61","0,39","2,07","26,28","2,60",SOND5
"11,91","1,92","1,76","2,26","33,31","16,12","26,46","17,21","19,82","8,09","9,32","9,69","11,15","1,39","3,31","-3,44","110,12","16,28","0,73","14,79","12,14","11,71","-0,21","-1,16","-1,34","0,01","0,79","0,21","3,45","10,29","30,24",TKNO3
"65,85","0,17","1,07","0,00","0,00","0,26","37,67","12,68","14,26","4,59","5,16","1,21","1,36","0,12","-1,24","-0,21","16,14","0,26","0,70","1,62","18,99","0,18","2,98","3,38","3,80","3,00","0,11","0,89","0,81","14,03",,MNDL3
"2,37","0,39","1,12","0,00","0,00","16,64","17,28","12,60","13,04","2,49","2,58","3,03","3,13","0,49","1,55","-0,91","28,40","13,48","1,25","47,45","27,64","20,83","-0,21","-0,57","-0,59","0,02","0,44","0,56","3,30","26,50",,AHEB3
"563,38",,"312,74","0,00","0,00","0,00","0,00","0,00","0,00",,"563,38",,"563,38","3,49",,"-312,74","0,00","0,00","0,00","55,51","55,51","0,62","0,00",,"0,00","0,00","0,01","0,99","1,00","-100,00",,PPLA11
"11,95","11,50","0,87","8,60","100,00","96,24","30,53","-4,01","-0,51","-203,48","-25,96","-2.251,01","-287,21","0,76","1,04","-3,26","454,30","33,13","0,07","7,29","-2,64","6,35","-0,79","2.047,54","261,25","0,02","0,87","0,13","20,54","-6,40","34,07",BMKS3
"12,25","0,80","-0,48","0,00","0,00","6,53","24,84","-0,38","1,74","-19,85","90,56","46,11","-210,32","0,36","0,69","-3,34","-4,27","0,17","0,45","-3,90","398,58","2,95","0,55","-53,15","242,46","-0,41","-0,76","1,76","2,43","0,36","-18,71",HAGA3
"1,76","0,30","11,37","0,00","0,00","16,86","46,54","13,80","16,56","4,94","5,93","1,79","2,14","0,30","0,98","-0,86","2,99","19,36","1,01","647,44","13,64","16,97","20,04","3,15","3,78","23,99","0,03","0,97","1,87","13,39","8,34",CTKA4
"10,76","1,73","1,59","3,85","33,31","16,12","26,46","17,21","19,82","8,09","9,32","8,75","10,08","1,26","2,99","-3,10","110,12","16,28","0,73","14,79","12,14","11,71","-0,21","-1,16","-1,34","0,01","0,79","0,21","3,45","10,29","30,24",TKNO4
"-0,50","0,32","-0,06","0,00","0,00","-63,98","19,03","-36,02","-32,23","-13,53","-12,10","-0,99","-0,89","0,03","-0,05","-0,04","-145,99","-16,80","0,08","-11,51","51,98","-5,08","-0,73","-12,54","-11,22","-0,80","-0,44","1,44","0,46","15,58",,BDLL4
"-1,09","0,05","-0,02","0,00","0,00","-4,31","24,78","29,50","31,38","1,04","1,11","0,15","0,16","0,08","-0,68","-0,19","-158,56","-3,25","1,67","-2,05","-15,79","-6,95","-0,10","0,69","0,74","-0,11","-3,50","4,53","0,84","13,54",,SNSY5
"2,10","0,20","0,67","0,00","0,00","9,64","28,99","15,04","17,39","3,21","3,71","1,17","1,35","0,22","3,17","-0,38","31,52","9,98","1,07","31,67","18,15","10,27","1,22","2,14","2,47","1,25","0,32","0,68","1,19","10,84",,CEDO3
"6,15","1,20","1,10","4,19","20,74","19,59","42,81","35,08","49,87","3,80","5,40","2,42","3,43","0,42","4,38","-0,54","22,79","4,07","0,34","17,84","11,77","6,75","0,59","1,31","1,86","1,07","0,38","0,62","1,67","14,38","26,29",MRSA5B
"10,68","0,43","1,18","19,01","170,03","3,99","12,30","6,16","7,17","6,20","7,22","5,94","6,92","0,58","1,43","-2,19","32,85","3,63","1,35","11,05","7,80","5,39","0,06","0,31","0,36","0,59","0,49","0,51","2,20","8,70","-13,79",PATI3
"-1,25","0,20","-0,06","0,00","0,00","-16,17","41,90","0,14","1,53","55,32","585,17","13,22","139,84","0,10","-0,04","-0,16","-70,89","-3,28","0,50","-4,63","-0,05","-8,06","-0,18","41,13","435,10","-0,18","-1,74","2,74","0,14","3,42",,ESTR4
"12,97","1,77","1,20","3,99","55,19","13,64","19,68","6,09","16,07","6,48","17,09","11,00","29,02","0,93","3,56","-1,51","9,52","0,88","0,53","9,23","3,38","7,17","-0,14","-1,33","-3,51","0,10","0,78","0,22","3,09","7,02","34,73",FESA3
"11,35","1,44","1,27","7,29","79,47","12,73","22,10","19,07","25,37","8,04","10,69","5,69","7,57","0,55","6,34","-0,76","8,81","0,99","0,38","11,20","8,38","4,86","0,48","2,17","2,89","0,72","0,44","0,56","1,48","4,22","-5,60",CPLE5
"-0,50","0,06","-0,12","0,00","0,00","-12,02","13,08","-0,38","3,62","8,64","-81,94","1,64","-15,60","0,11","-0,21","-0,16","-46,45","-11,10","1,81","-23,89","10,97","-21,69","-0,50","6,99","-66,34","-0,54","-0,91","1,91","0,39","25,45",,PLAS3
"5,16","0,59","1,72","12,55","0,00","11,54","30,11","15,95","18,57","2,19","2,56","3,20","3,73","1,05","3,62","-2,38","29,12","9,69","1,76","33,29","27,63","20,44","-0,44","-0,81","-0,95","0,00","0,61","0,39","2,07","26,28","2,60",SOND6
"12,47","3,70","0,40","21,02","135,11","29,66","52,98","-63,92","-61,39","-11,44","-10,99","-6,03","-5,79","0,16","4,86","-0,18","70,91","2,25","0,04","3,17","-5,59","1,27","0,36","-5,42","-5,20","0,43","0,40","0,60","1,37","-7,24","71,36",HBTS5
"1,01","0,09","1,20","0,00","0,00","8,74","12,15","21,95","24,07","1,61","1,77","0,37","0,40","0,08","-0,79","-0,12","9,64","11,43","0,88","118,56","52,87","7,69","4,02","1,23","1,35","4,44","0,06","0,94","0,79","12,96","-1,12",MWET4
"-75,77","0,50","0,46","0,28","-18,59","-0,65","20,16","-2,04","1,33","60,90","-39,63","37,23","-24,23","0,32","0,67","-0,75","9,17","-0,06","0,64","-0,60","-1,64","-0,42","0,11","8,89","-5,79","0,22","0,70","0,30","6,00","4,16",,DOHL4
"1,94","0,52","0,45","6,46","7,06","26,99","29,34","14,77","26,15","1,22","2,16","2,00","3,54","0,32","7,44","-0,37","7,56","1,76","0,61","23,24","-0,65","16,47","0,00","0,02","0,03","0,12","0,71","0,29","1,41","5,28","34,10",LUXM4
"-70,05","0,68","3,83","0,00","0,00","-0,98","16,65","6,99","10,19","9,75","14,21","6,71","9,78","0,81","6,34","-2,58","65,19","-3,57","1,19","-5,47","11,39","-1,70","1,74","3,04","4,43","2,00","0,21","0,79","1,23","9,72",,FRIO3
"1,08","15,66","-0,32","0,00","0,00","1.456,06","82,55","1.394,68","1.394,68","2,21","2,21","1,12","1,12","2,02","-0,31","-2,20","-18,69","5,50","0,13","-29,40","-29,36","188,01","-0,31","1,09","1,09","-0,31","-6,40","7,40","0,01","9,06",,NORD3
"8,10","1,41","2,92","9,28","86,75","17,37","31,06","22,79","26,56","5,76","6,72","5,30","6,18","0,91","10,64","-1,35","2,43","0,88","0,65","36,01","18,99","11,21","0,80","1,45","1,69","1,27","0,31","0,69","1,35","13,70","21,96",EQPA6
"20,18","5,89","1,86","5,74","165,96","29,22","59,71","47,94","48,85","12,27","12,50","12,07","12,30","1,26","9,35","-1,67","3,81","0,35","0,21","9,20","9,63","7,41","0,03","0,20","0,20","0,13","0,68","0,32","2,24","16,09","6,93",AFLT3
"8,68","0,35","0,96","10,33","170,03","3,99","12,30","6,16","7,17","6,20","7,22","4,82","5,62","0,47","1,16","-1,78","32,85","3,63","1,35","11,05","7,80","5,39","0,06","0,31","0,36","0,59","0,49","0,51","2,20","8,70","-13,79",PATI4
"4,59","0,35","0,37","3,22","0,00","7,69","16,77","10,79","20,25","4,14","7,78","1,74","3,27","0,16","-1,22","-0,20","33,42","2,72","0,45","8,15","2,81","3,47","0,51","2,40","4,50","0,55","0,43","0,57","0,62","7,64","69,85",CBEE3
"-100,64",,"131,69","0,00","0,00","0,00","0,00","0,00","0,00","-171,28","-171,28","-172,60","-172,60","0,26","131,69","-0,26","0,05","-0,06","0,00","-130,85","-76,30","-0,26","-1,00","1,31","1,31","0,00","0,00","1,00","27,94",,,PSVM11
"-3,70","0,61","0,74","0,00","0,00","-16,51","2,03","-5,11","-0,85","-56,49","-9,43","-71,69","-11,97","0,50","1,18","-1,31","20,32","-4,05","0,82","-19,93","-19,93","-13,49","-0,22","21,40","3,57","0,02","0,68","0,32","3,13","-0,54",,CRPG6
"13,72","1,67","3,43","4,40","60,38","12,15","26,26","19,42","23,47","10,04","12,14","7,10","8,58","0,96","9,76","-1,33","18,36","4,59","0,58","25,01","12,52","7,02","1,46","3,02","3,65","1,83","0,28","0,72","1,56","10,18","8,20",ENMT4
"-0,75","0,09","-1,64","0,00","0,00","-11,75","7,72","-1,19","5,03","10,86","-45,96","1,75","-7,40","0,07","0,85","-0,11","-5,31","-11,64","0,83","-219,00","-12,82","-10,51","-8,52","9,09","-38,46","-11,60","-0,04","1,04","1,32","6,16",,BRKM6
"-38,01","5,36","28,80","0,00","0,00","-14,10","28,52","-6,77","258,75","5,07","-193,86","2,07","-79,12","3,99","9,00","-44,37","0,10","-0,08","0,74","-75,79","-36,40","-10,50","-0,95","-0,07","2,60","0,00","0,14","0,86","1,95","-18,04",,DTCY3
"-0,01","0,04","-0,01","0,00","0,00","-319,31","66,69","-47,81","-46,66","-25,03","-24,42","-0,10","-0,09","0,01","-0,51","-0,01","-730,91","-304,27","0,15","-41,63","-13,66","-49,37","-1,52","-24,93","-24,33","-1,60","-1,19","2,19","0,92","14,90",,GSHP3
"6,63","0,99","1,13","6,46","55,16","14,96","61,72","20,12","22,58","2,54","2,85","4,40","4,93","0,73","1,43","-2,72","18,63","3,17","0,74","16,99","16,26","11,17","-0,34","-1,34","-1,50","0,09","0,65","0,36","3,30","4,93","13,85",BALM3
"6,18","0,76","1,16","9,58","0,00","12,37","29,44","17,22","21,82","5,66","7,17","3,50","4,44","0,47","38,43","-0,62","24,56","4,63","0,62","18,85","12,79","7,63","0,72","2,16","2,74","0,88","0,40","0,60","1,05",,,EQMA3B
"6,15","1,20","1,10","4,19","20,74","19,59","42,81","35,08","49,87","3,80","5,40","2,42","3,43","0,42","4,38","-0,54","22,79","4,07","0,34","17,84","11,77","6,75","0,59","1,31","1,86","1,07","0,38","0,62","1,67","14,38","26,29",MRSA6B
"4,43","0,57","1,16","4,93","38,33","12,88","31,71","23,95","30,32","5,01","6,34","1,88","2,38","0,31","-11,33","-0,37","32,28","8,45","0,54","26,17","16,49","6,67","1,78","2,89","3,66","1,84","0,26","0,74","0,86","8,78","11,83",CEEB5
"6,52","1,28","1,16","3,59","20,74","19,59","42,81","35,08","49,87","3,80","5,40","2,56","3,64","0,44","4,64","-0,58","22,79","4,07","0,34","17,84","11,77","6,75","0,59","1,31","1,86","1,07","0,38","0,62","1,67","14,38","26,29",MRSA3B
"12,24","2,75","2,01","21,04","102,32","22,44","41,18","38,58","71,01","4,08","7,51","3,87","7,12","0,97","-9,12","-1,18","17,91","2,94","0,35","16,41","13,79","7,89","0,11","0,22","0,40","0,37","0,48","0,52","0,63","-3,14","-16,93",GEPA3
"9,63","1,70","0,57","8,36","29,55","17,62","35,13","29,40","0,00",,"6,78",,"5,77","0,15","-0,26","-0,17","28,96","1,72","0,09","5,93","5,93","1,53","0,00",,"-0,02","0,00","0,26","0,74","0,20","33,23","27,57",BMIN4
"7,37","1,28","2,66","10,20","86,75","17,37","31,06","22,79","26,56","5,76","6,72","4,82","5,62","0,83","9,68","-1,23","2,43","0,88","0,65","36,01","18,99","11,21","0,80","1,45","1,69","1,27","0,31","0,69","1,35","13,70","21,96",EQPA5
"8,52","0,37","0,62","8,57","58,41","4,30","31,86","4,41","0,00",,"5,82",,"8,30","0,04","11,41","-0,04","25,84","1,88","0,12","7,26","7,26","0,51",,,,,"0,07","0,93","1,33","16,76","1,07",BRSR5
"20,03","7,38","0,80","2,18","44,70","36,86","58,44","30,99","46,14","14,63","21,79","16,00","23,82","0,56","3,24","-0,70","47,53","1,90","0,08","3,99","2,66","2,77","-0,06","-1,15","-1,72","0,18","0,69","0,31","5,51","-11,66","-40,08",PEAB3
"9,83","0,43","0,73","4,22","35,13","4,38","17,55","13,41","21,47","4,43","7,09","2,01","3,21","0,25","-1,67","-0,31","44,01","3,25","0,58","7,40","10,88","2,56","1,03","2,85","4,56","1,07","0,35","0,65","0,57","8,58","7,91",COCE3
"3,60","0,92","0,56","6,02","24,00","25,45","43,89","47,15","0,00",,"1,94",,"1,94","0,11","0,44","-1,10","163,42","25,28","0,12","15,47","17,09","3,08",,,,,"0,20","0,80","1,39","16,80","16,46",BNBR3
"7,40","0,55","1,82","3,28","47,09","7,37","48,47","3,04","0,00",,"19,19",,"17,93","0,13","-1,21","-0,56","18,14","4,46","0,23","24,59","9,11","1,76",,,,,"0,07","0,93","0,88","23,20","25,84",BMEB3
"5,26","0,35","1,00","8,21","16,68","6,67","17,23","11,83","15,04","4,45","5,66","2,34","2,97","0,29","4,14","-0,42","100,17","19,09","0,82","19,06","13,06","5,48","0,90","2,09","2,65","1,09","0,29","0,71","1,28","4,49","7,26",CLSC3
